Município;neventos;popresidente;eventos1000hab;%ev/pop;txanalf;txdesemp;indpcomp;%popid(15-65);medenf;medenf/pop
Arcos de Valdevez;44;22847;1.9;0.002;12.6;10.2;62;0.58;50;0.002
Caminha;11;16684;0.7;0.001;4.3;13.1;81.8;0.64;38;0.002
Melgaço;5;9213;0.5;0.001;9.5;9.7;62.5;0.54;26;0.003
Monção;26;19230;1.4;0.001;8.1;9.8;69.4;0.61;34;0.002
Paredes de Coura;17;9198;1.8;0.002;11.4;11.1;59.3;0.61;20;0.002
Ponte da Barca;22;12061;1.8;0.002;11.1;13.1;60.2;0.62;31;0.003
Ponte de Lima;66;43498;1.5;0.002;7.1;11.9;65;0.65;73;0.002
Valença;35;14127;2.5;0.002;5.1;12.4;85.1;0.64;26;0.002
Viana do Castelo;195;88725;2.2;0.002;4.4;12.5;93.1;0.66;159;0.002
Vila Nova de Cerveira;9;9253;1;0.001;6.1;9.7;79.9;0.63;22;0.002
Amares;73;18889;3.9;0.004;6.1;14.1;68.1;0.67;30;0.002
Barcelos;199;120391;1.7;0.002;4.6;12.1;72.6;0.7;165;0.001
Braga;305;181494;1.7;0.002;3.4;13.2;104.2;0.7;292;0.002
Esposende;41;34254;1.2;0.001;4.3;11.3;81.5;0.69;50;0.001
Terras de Bouro;23;7253;3.2;0.003;9.4;17.1;57;0.62;14;0.002
Vila Verde;93;47888;1.9;0.002;7.3;12.9;64.3;0.66;72;0.002
Cabeceiras de Basto;24;16710;1.4;0.001;10.1;15;57.5;0.64;36;0.002
Fafe;74;50633;1.5;0.001;6.2;14.8;69.7;0.68;75;0.001
Guimarães;278;158124;1.8;0.002;4.4;14.3;85.8;0.71;220;0.001
Mondim de Basto;16;7493;2.1;0.002;10.8;14.8;57.2;0.64;15;0.002
Póvoa de Lanhoso;25;21886;1.1;0.001;7.6;13.2;68.4;0.66;36;0.002
Vieira do Minho;17;12997;1.3;0.001;8.4;16.3;66.1;0.64;24;0.002
Vila Nova de Famalicão;198;133832;1.5;0.001;4;14.9;83.9;0.7;164;0.001
Vizela;45;23736;1.9;0.002;5;14.3;72.1;0.72;48;0.002
Arouca;18;22359;0.8;0.001;7.3;8.1;65.2;0.67;32;0.001
Espinho;88;31786;2.8;0.003;4.7;18.4;99.7;0.67;61;0.002
Gondomar;455;168027;2.7;0.003;3.3;16.9;80.4;0.7;291;0.002
Maia;324;135306;2.4;0.002;2.5;14.1;112.3;0.7;174;0.001
Matosinhos;540;175478;3.1;0.003;3.2;15;124.4;0.7;284;0.002
Oliveira de Azeméis;127;68611;1.9;0.002;4.1;8.9;80.6;0.68;92;0.001
Paredes;175;86854;2;0.002;4.2;15.5;74.6;0.7;131;0.002
Porto;1277;237591;5.4;0.005;2.8;17.6;161.7;0.65;431;0.002
Póvoa de Varzim;130;63408;2.1;0.002;3.7;13.8;92.7;0.69;118;0.002
Santa Maria da Feira;279;139312;2;0.002;4;14.8;82.6;0.69;197;0.001
Santo Tirso;129;71530;1.8;0.002;4.3;17.4;80.6;0.69;127;0.002
São João da Madeira;81;21713;3.7;0.004;2.9;11;129.9;0.69;38;0.002
Trofa;80;38999;2.1;0.002;3.5;16.8;86.5;0.71;51;0.001
Vale de Cambra;38;22864;1.7;0.002;6.3;8.1;82.5;0.66;32;0.001
Valongo;189;93858;2;0.002;2.8;16.9;86.5;0.7;140;0.001
Vila do Conde;150;79533;1.9;0.002;3.8;14.5;93.9;0.69;123;0.002
Vila Nova de Gaia;932;302295;3.1;0.003;3.2;17.9;99.1;0.69;397;0.001
Boticas;6;5750;1;0.001;15.8;9.2;52.6;0.58;13;0.002
Chaves;83;41243;2;0.002;7.6;14.5;79.1;0.63;83;0.002
Montalegre;18;10537;1.7;0.002;14.7;11.1;57.8;0.57;36;0.003
