,Churn,Longevity,TypeTravel,RoomType,RewardPoints,Comfort,ReceptionSchedule,FoodDrink,Location,Wifi,Amenities,Staff,OnlineBooking,PriceQuality,RoomSpace,CheckOut,Checkin,Cleanliness,BarService,Age,Gender,avg_satisfaction,avg_accomodation,avg_reception,avg_catering,avg_key_factors,RewardPoints_bins,Age_bin
0,churn,yes,business,single,4907.0,3.0,4.0,1.0,4.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,48,F,3.2857142857142856,3.2,3.6,2.5,3.5,2,Mid_adult
1,nochurn,yes,business,single,6724.0,1.0,1.0,1.0,1.0,5.0,3.0,4.0,5.0,5.0,5.0,5.0,1.0,5.0,2.0,57,M,3.142857142857143,3.8,3.2,1.5,3.0,2,Older_adult
2,churn,yes,business,single,4365.0,3.0,3.0,3.0,3.0,1.0,4.0,4.0,3.0,3.0,2.0,3.0,2.0,3.0,1.0,49,M,2.7142857142857144,2.6,3.0,2.0,3.0,1,Mid_adult
3,nochurn,yes,leisure,double,3849.0,1.0,1.0,1.0,1.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,29,F,3.142857142857143,3.4,3.6,2.0,2.5,1,Young_adult
4,nochurn,yes,business,single,5376.0,2.0,2.0,3.0,2.0,5.0,5.0,5.0,5.0,5.0,3.0,4.0,1.0,3.0,5.0,33,M,3.5714285714285716,3.6,3.4,4.0,3.5,2,Young_adult
5,churn,yes,business,double,5342.0,2.0,2.0,5.0,5.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,1.0,47,F,2.5714285714285716,2.2,2.4,3.0,3.5,2,Mid_adult
6,churn,no,business,double,4909.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,3.0,2.0,32,F,2.0,2.0,2.0,2.0,2.0,2,Young_adult
7,churn,yes,business,single,4037.0,2.0,3.0,3.0,3.0,2.0,4.0,4.0,2.0,2.0,3.0,2.0,1.0,2.0,2.0,46,M,2.5,2.6,2.4,2.5,2.5,1,Mid_adult
8,churn,yes,business,single,3694.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,48,M,2.0714285714285716,1.8,2.2,2.0,2.5,1,Mid_adult
9,churn,yes,business,single,3475.0,3.0,5.0,5.0,5.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,1.0,4.0,3.0,28,M,3.5,3.2,3.2,4.0,4.5,1,Young_adult
10,nochurn,yes,leisure,double,5059.0,4.0,3.0,4.0,2.0,1.0,4.0,1.0,1.0,2.0,4.0,3.0,5.0,2.0,1.0,62,M,2.642857142857143,3.0,2.6,2.5,2.0,2,Older_adult
11,churn,no,business,double,5360.0,2.0,2.0,2.0,4.0,4.0,2.0,3.0,4.0,2.0,4.0,4.0,3.0,3.0,4.0,27,F,3.0714285714285716,3.0,3.2,3.0,3.0,2,Young_adult
12,nochurn,no,business,single,5853.0,5.0,5.0,5.0,4.0,3.0,5.0,3.0,3.0,3.0,5.0,5.0,4.0,4.0,3.0,45,F,4.071428571428571,4.4,4.0,4.0,3.5,2,Mid_adult
13,nochurn,yes,business,single,5164.0,2.0,2.0,2.0,2.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,3.0,41,M,3.7857142857142856,4.0,4.2,2.5,3.5,2,Mid_adult
14,nochurn,yes,leisure,double,5858.0,5.0,5.0,5.0,5.0,3.0,5.0,3.0,3.0,5.0,2.0,5.0,3.0,4.0,3.0,28,M,4.0,3.8,3.8,4.0,5.0,2,Young_adult
15,nochurn,yes,business,single,6571.0,4.0,4.0,4.0,4.0,4.0,2.0,1.0,3.0,3.0,3.0,3.0,1.0,3.0,5.0,53,M,3.142857142857143,3.2,2.4,4.5,3.5,2,Mid_adult
